text,category
courier charges cost 220,Other
soap 207 inr,Personal Care
furniture 12609 rs,Shopping
vegetables cost 933,Food
just got mobile phone for 4605 inr,Shopping
paid 6558 inr for exam fee,Education
just got postage stamp for 898 inr,Other
just got birthday gift for 874 rupees,Gifts & Donations
recharged my vitamins with 1194,Health
headphones 6909 rupees,Shopping
bought courier charges for 987,Other
just got lab test for 4212 rs,Health
bought donation to charity for 400,Gifts & Donations
spent 545 on soap,Personal Care
just got wedding present for 912 rupees,Gifts & Donations
monthly maintenance fee payment of 962,Utilities
bought fruits for 658 inr,Food
monthly flight ticket payment of 5996,Transport
paid 669 rupees for bank fee,Other
gift for anniversary 993 rupees,Gifts & Donations
paid 400 for haircut,Personal Care
bought mobile phone for 3570 rs,Shopping
recharged my gift for anniversary with 995,Gifts & Donations
pizza 513,Food
just got birthday gift for 594 rs,Gifts & Donations
spent 495 on courier charges,Other
paid 840 rupees for gym membership,Personal Care
just got courier charges for 389,Other
headphones cost 5604,Shopping
paid 5293 rupees for textbooks,Education
paid 472 inr for concert tickets,Entertainment
bought Spotify premium for 468 rs,Entertainment
sports match ticket 758 rs,Entertainment
paid 639 inr for concert tickets,Entertainment
spent 11696 on electricity bill,Utilities
purchase of book - 2860,Shopping
"paid for takeout food, amount was 522",Food
bought book for 9555 rs,Shopping
monthly book payment of 6794,Shopping
uber ride 11677 inr,Transport
watch 10328 rs,Shopping
purchase of auto rickshaw fare - 8767,Transport
doctor's visit fee cost 2376,Health
recharged my birthday gift with 481,Gifts & Donations
"paid for software license, amount was 629",Other
monthly subscription service payment of 670,Utilities
"paid for gym membership, amount was 480",Personal Care
lab test 406 inr,Health
doctor's visit fee 3251 rupees,Health
paid 968 for birthday gift,Gifts & Donations
just got textbooks for 11222 rs,Education
"paid for house rent, amount was 13226",Utilities
purchase of pen and notebooks - 11273,Education
udemy course cost 876,Education
bought concert tickets for 911 inr,Entertainment
monthly contribution to fundraiser payment of 527,Gifts & Donations
purchase of doctor's visit fee - 3050,Health
bought pen and notebooks for 3987,Education
"paid for parking fee, amount was 3481",Transport
pet food 61,Other
recharged my gym membership with 507,Personal Care
recharged my postage stamp with 76,Other
bought magazine subscription for 538,Other
spent 6714 on pen and notebooks,Education
internet bill cost 6119,Utilities
movie tickets cost 472,Entertainment
monthly salon visit payment of 975,Personal Care
spent 4992 on phone recharge,Utilities
spent 342 on birthday gift,Gifts & Donations
bought software license for 617 inr,Other
purchase of birthday gift - 303,Gifts & Donations
purchase of fuel for car - 6759,Transport
bought taxi fare for 1220 inr,Transport
purchase of pizza - 917,Food
purchase of phone recharge - 6997,Utilities
just got birthday gift for 842 inr,Gifts & Donations
spent 13969 on running shoes,Shopping
recharged my movie tickets with 851,Entertainment
purchase of haircut - 146,Personal Care
monthly fruits payment of 501,Food
jeans 548 rupees,Shopping
"paid for electricity bill, amount was 3382",Utilities
paid 871 inr for soap,Personal Care
postage stamp cost 235,Other
"paid for takeout food, amount was 450",Food
bought amusement park entry for 777,Entertainment
purchase of pen and notebooks - 12826,Education
purchase of protein powder - 454,Personal Care
bought exam fee for 3931 rupees,Education
"paid for magazine subscription, amount was 518",Other
bought pastries for 529,Food
just got broadband payment for 4811 rs,Utilities
monthly movie tickets payment of 554,Entertainment
recharged my lunch with 947,Food
spent 12800 on electricity bill,Utilities
textbooks 4174 inr,Education
paid 13656 inr for DTH recharge,Utilities
recharged my train ticket with 10075,Transport
bought coursera specialization for 6521 inr,Education
just got coursera specialization for 13457 rupees,Education
just got haircut for 126 rs,Personal Care
bought amusement park entry for 820,Entertainment
bought band-aids for 4450 rs,Health
spent 863 on laundry service,Other
recharged my wedding present with 921,Gifts & Donations
spent 4842 on metro card recharge,Transport
donation to charity cost 580,Gifts & Donations
paid 10974 rupees for online course fee,Education
just got haircut for 843 inr,Personal Care
just got pastries for 517,Food
recharged my haircut with 536,Personal Care
paid 11179 rs for stationery,Education
lunch cost 509,Food
purchase of taxi fare - 12323,Transport
taxi fare cost 11243,Transport
spent 800 on gift for anniversary,Gifts & Donations
monthly contribution to fundraiser payment of 132,Gifts & Donations
monthly coffee payment of 922,Food
spent 8302 on skincare products,Shopping
birthday gift cost 81,Gifts & Donations
"paid for pastries, amount was 696",Food
paid 125 for pastries,Food
recharged my movie tickets with 503,Entertainment
bought maintenance fee for 2872 rs,Utilities
electricity bill cost 8010,Utilities
monthly birthday gift payment of 440,Gifts & Donations
dental checkup 1152 rupees,Health
bought fruits for 508 rs,Food
monthly postage stamp payment of 808,Other
just got postage stamp for 872 rupees,Other
